z,coarse,medium,fine  
91.98,474.81,440.06,437.73
92.12,474.41,439.78,437.48
92.26,474.01,439.51,437.23
92.4,473.61,439.23,436.98
92.54,473.21,438.95,436.74
92.68,472.82,438.68,436.49
92.82,472.42,438.4,436.24
92.96,472.02,438.12,436
93.1,471.62,437.85,435.75
93.24,471.22,437.57,435.51
93.38,470.83,437.29,435.26
93.52,470.43,437.02,435.01
93.66,470.03,436.74,434.77
93.8,469.63,436.46,434.52
93.94,469.23,436.19,434.27
94.08,468.83,435.91,434.03
94.22,468.44,435.63,433.78
94.36,468.04,435.36,433.53
94.5,467.64,435.08,433.29
94.64,467.24,434.8,433.04
94.78,466.84,434.53,432.8
94.92,466.44,434.25,432.55
95.06,466.07,433.98,432.3
95.2,465.72,433.72,432.06
95.34,465.37,433.45,431.81
95.48,465.02,433.19,431.57
95.62,464.67,432.92,431.32
95.76,464.32,432.66,431.08
95.9,463.97,432.39,430.83
96.04,463.62,432.13,430.59
96.18,463.27,431.87,430.34
96.32,462.92,431.6,430.1
96.46,462.57,431.34,429.85
96.6,462.22,431.07,429.6
96.74,461.86,430.81,429.36
96.88,461.51,430.55,429.11
97.02,461.16,430.28,428.87
97.16,460.81,430.02,428.62
97.3,460.46,429.75,428.38
97.44,460.11,429.49,428.13
97.58,459.76,429.23,427.89
97.72,459.41,428.96,427.64
97.86,459.06,428.7,427.4
98,458.71,428.43,427.15
98.14,458.36,428.18,426.91
98.28,458.01,427.93,426.67
98.42,457.66,427.67,426.43
98.56,457.31,427.42,426.19
98.7,456.96,427.17,425.95
98.84,456.61,426.92,425.71
98.98,456.26,426.66,425.47
99.12,455.91,426.41,425.24
99.26,455.56,426.16,425
99.4,455.21,425.91,424.76
99.54,454.86,425.65,424.52
99.68,454.51,425.4,424.28
99.82,454.16,425.15,424.04
99.96,453.81,424.9,423.8
100.1,453.46,424.64,423.56
100.24,453.11,424.39,423.32
100.38,452.76,424.14,423.08
100.52,452.41,423.89,422.84
100.66,452.06,423.63,422.6
100.8,451.71,423.38,422.36
100.94,451.36,423.13,422.12
101.08,451.03,422.89,421.89
101.22,450.72,422.65,421.67
101.36,450.41,422.42,421.45
101.5,450.11,422.18,421.23
101.64,449.8,421.95,421.01
101.78,449.49,421.72,420.79
101.92,449.18,421.48,420.57
102.06,448.87,421.25,420.35
102.2,448.56,421.02,420.13
102.34,448.25,420.78,419.91
102.48,447.94,420.55,419.69
102.62,447.63,420.32,419.47
102.76,447.32,420.08,419.25
102.9,447.01,419.85,419.03
103.04,446.7,419.61,418.81
103.18,446.4,419.38,418.59
103.32,446.09,419.15,418.37
103.46,445.78,418.91,418.15
103.6,445.47,418.68,417.93
103.74,445.16,418.45,417.71
103.88,444.85,418.21,417.49
104.02,444.54,417.98,417.27
104.16,444.23,417.77,417.05
104.3,443.92,417.56,416.84
104.44,443.61,417.35,416.62
104.58,443.3,417.14,416.41
104.72,443,416.93,416.19
104.86,442.69,416.73,415.98
105,442.38,416.52,415.76
105.14,442.07,416.31,415.54
105.28,441.76,416.1,415.33
105.42,441.45,415.89,415.11
105.56,441.14,415.68,414.9
105.7,440.83,415.47,414.68
105.84,440.52,415.26,414.46
105.98,440.21,415.05,414.25
106.12,439.9,414.84,414.03
106.26,439.59,414.63,413.82
106.4,439.29,414.42,413.6
106.54,438.98,414.21,413.39
106.68,438.67,414,413.17
106.82,438.36,413.79,412.95
106.96,438.05,413.58,412.74
107.1,437.77,413.38,412.54
107.24,437.5,413.18,412.34
107.38,437.23,412.98,412.14
107.52,436.97,412.78,411.95
107.66,436.7,412.57,411.75
107.8,436.43,412.37,411.55
107.94,436.16,412.17,411.36
108.08,435.89,411.97,411.16
108.22,435.63,411.77,410.96
108.36,435.36,411.57,410.77
108.5,435.09,411.36,410.57
108.64,434.82,411.16,410.37
108.78,434.55,410.96,410.17
108.92,434.29,410.76,409.98
109.06,434.02,410.56,409.78
109.2,433.75,410.36,409.58
109.34,433.48,410.15,409.39
109.48,433.21,409.95,409.19
109.62,432.95,409.75,408.99
109.76,432.68,409.55,408.8
109.9,432.41,409.35,408.6
110.04,432.14,409.15,408.41
110.18,431.87,408.94,408.25
110.32,431.61,408.74,408.09
110.46,431.34,408.54,407.92
110.6,431.07,408.33,407.76
110.74,430.8,408.13,407.59
110.88,430.53,407.92,407.43
111.02,430.27,407.72,407.27
111.16,430,407.52,407.1
111.3,429.73,407.31,406.94
111.44,429.46,407.11,406.77
111.58,429.19,406.91,406.61
111.72,428.93,406.7,406.45
111.86,428.66,406.5,406.28
112,428.39,406.3,406.12
112.14,428.12,406.09,405.95
112.28,427.85,405.89,405.79
112.42,427.59,405.69,405.63
112.56,427.32,405.48,405.46
112.7,427.05,405.28,405.3
112.84,426.78,405.07,405.13
112.98,426.51,404.87,404.97
113.12,426.28,404.68,404.82
113.26,426.05,404.5,404.66
113.4,425.81,404.31,404.51
113.54,425.58,404.13,404.36
113.68,425.35,403.94,404.21
113.82,425.12,403.75,404.06
113.96,424.89,403.57,403.91
114.1,424.66,403.38,403.75
114.24,424.42,403.2,403.6
114.38,424.19,403.01,403.45
114.52,423.96,402.82,403.3
114.66,423.73,402.64,403.15
114.8,423.5,402.45,403
114.94,423.27,402.27,402.84
115.08,423.03,402.08,402.69
115.22,422.8,401.9,402.54
115.36,422.57,401.71,402.39
115.5,422.34,401.52,402.24
115.64,422.11,401.34,402.09
115.78,421.88,401.15,401.93
115.92,421.64,400.97,401.78
116.06,421.41,400.79,401.63
116.2,421.18,400.63,401.49
116.34,420.95,400.47,401.35
116.48,420.72,400.31,401.2
116.62,420.49,400.15,401.06
116.76,420.26,399.98,400.91
116.9,420.02,399.82,400.77
117.04,419.79,399.66,400.62
117.18,419.56,399.5,400.48
117.32,419.33,399.34,400.33
117.46,419.1,399.18,400.19
117.6,418.87,399.02,400.04
117.74,418.63,398.85,399.9
117.88,418.4,398.69,399.76
118.02,418.17,398.53,399.61
118.16,417.94,398.37,399.47
118.3,417.71,398.21,399.32
