cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 2.0378788E+001, 1.0580019E+001, 1.2349825E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.4096386E-001, 1.8348701E+000, 1.5152993E+000, 9.8562014E-001, 2.3015059E-001, 1.2910722E-001, 2.5924519E-001, 5.2884500E-001, 7.2951469E-001, 3.2286495E-001, 1.4527788E-001
 2.0875758E+001, 1.0123734E+001, 1.1726410E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.4698795E-001, 1.9713242E+000, 1.6797047E+000, 1.1899016E+000, 2.4568866E-001, 1.2196605E-001, 1.1119797E-001, 4.0468836E-001, 6.3680471E-001, 3.3033376E-001, 1.3157473E-001
 2.1372727E+001, 9.6632410E+000, 1.1090231E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4698795E-001, 1.9621986E+000, 1.5379335E+000, 1.0895754E+000, 2.4015460E-001, 1.1424033E-001, 1.1692895E-001, 4.8664642E-001, 6.6608157E-001, 3.2263177E-001, 1.2387012E-001
 2.1869697E+001, 9.1957743E+000, 1.0459799E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 7.4096386E-001, 1.8615397E+000, 1.1130779E+000, 7.3739786E-001, 2.1838660E-001, 1.0378782E-001, 2.4601571E-001, 7.1670311E-001, 7.0981328E-001, 3.1631692E-001, 1.1627303E-001
 2.2366667E+001, 8.7368832E+000, 9.8758185E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2349398E+000, 1.3379362E+000, 7.5123919E-001, 5.9222660E-001, 1.9724308E-001, 9.5203284E-002, 7.0889675E-001, 7.5405589E-001, 7.2009860E-001, 3.2266658E-001, 1.1387563E-001
 2.2863636E+001, 8.3085459E+000, 9.3884092E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.7289157E+000, 8.5905675E-001, 6.0411179E-001, 5.2456453E-001, 1.8050881E-001, 9.1618922E-002, 8.1981784E-001, 7.6606319E-001, 7.0665034E-001, 3.3834972E-001, 1.2164626E-001
 2.3360606E+001, 7.8574118E+000, 8.8800475E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2228916E+000, 5.9475516E-001, 5.2111285E-001, 4.6912850E-001, 1.6775520E-001, 9.2870457E-002, 7.6937617E-001, 7.3453621E-001, 6.5772825E-001, 3.5076965E-001, 1.3060434E-001
 2.3857576E+001, 7.4751014E+000, 8.5209206E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7168675E+000, 4.1709475E-001, 4.4576694E-001, 4.1657317E-001, 1.6487890E-001, 9.6099402E-002, 6.3667630E-001, 6.6179031E-001, 6.1211320E-001, 3.6623572E-001, 1.3227922E-001
 2.4354545E+001, 7.1177293E+000, 8.1926163E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2108434E+000, 3.0429772E-001, 3.6833050E-001, 3.7411394E-001, 1.7010754E-001, 9.9218896E-002, 4.8939970E-001, 5.6140043E-001, 5.5614030E-001, 3.8419299E-001, 1.3529172E-001
 2.4851515E+001, 6.7702419E+000, 7.8553352E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.7048193E+000, 2.3981985E-001, 3.0570327E-001, 3.3281991E-001, 1.7118448E-001, 1.0216093E-001, 3.6462412E-001, 4.5701341E-001, 4.8722766E-001, 3.8648086E-001, 1.4459083E-001
 2.5348485E+001, 6.4343103E+000, 7.5072526E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.1987952E+000, 2.0436231E-001, 2.5852541E-001, 2.9184081E-001, 1.6639580E-001, 1.0409531E-001, 2.8868556E-001, 3.7494947E-001, 4.3579183E-001, 3.7237554E-001, 1.5381579E-001
 2.5845455E+001, 6.1070278E+000, 7.1604131E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.6927711E+000, 2.0127818E-001, 2.5742845E-001, 2.6963839E-001, 1.5778562E-001, 1.0517093E-001, 2.7692786E-001, 3.7218594E-001, 4.3322396E-001, 3.4529256E-001, 1.6295850E-001
 2.6342424E+001, 5.7970750E+000, 6.8415003E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 5.1867470E+000, 1.7789062E-001, 2.8757576E-001, 2.6790148E-001, 1.5037273E-001, 1.0687350E-001, 2.3289998E-001, 4.2586074E-001, 4.5907965E-001, 3.1857755E-001, 1.7338343E-001
 2.6839394E+001, 5.4963779E+000, 6.5479145E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 5.6807229E+000, 1.2131474E-001, 3.0631735E-001, 2.8277584E-001, 1.4414972E-001, 1.0596959E-001, 1.3794165E-001, 4.7793236E-001, 4.9056742E-001, 2.9562681E-001, 1.7694701E-001
