s,m/s
Time,"w"
 1.9908045E+000, 3.0989493E+000
 1.9927945E+000, 3.0874196E+000
 1.9947845E+000, 3.0693440E+000
 1.9967746E+000, 3.0449674E+000
 1.9987646E+000, 3.0174173E+000
 2.0007547E+000, 2.9858065E+000
 2.0027447E+000, 2.9523097E+000
 2.0047347E+000, 2.9170612E+000
 2.0067248E+000, 2.8856782E+000
 2.0087148E+000, 2.8591264E+000
 2.0107049E+000, 2.8366549E+000
 2.0126949E+000, 2.8182966E+000
 2.0146849E+000, 2.8043714E+000
 2.0168740E+000, 2.7965310E+000
 2.0190630E+000, 2.7948373E+000
 2.0212521E+000, 2.7970414E+000
 2.0234411E+000, 2.7999538E+000
 2.0253894E+000, 2.8027657E+000
 2.0273377E+000, 2.8045381E+000
 2.0292860E+000, 2.8052213E+000
 2.0312342E+000, 2.8054029E+000
 2.0331825E+000, 2.8051301E+000
 2.0351308E+000, 2.8040694E+000
 2.0370791E+000, 2.8040420E+000
 2.0390274E+000, 2.8081069E+000
 2.0409756E+000, 2.8169931E+000
 2.0429239E+000, 2.8321675E+000
 2.0448722E+000, 2.8524595E+000
 2.0465971E+000, 2.8731636E+000
 2.0483220E+000, 2.8969016E+000
 2.0500469E+000, 2.9233609E+000
 2.0517718E+000, 2.9513905E+000
 2.0534967E+000, 2.9803604E+000
 2.0552216E+000, 3.0097861E+000
 2.0569465E+000, 3.0367260E+000
 2.0586714E+000, 3.0649164E+000
 2.0603963E+000, 3.0901811E+000
 2.0622937E+000, 3.1133438E+000
 2.0641910E+000, 3.1299645E+000
 2.0660884E+000, 3.1425393E+000
 2.0679858E+000, 3.1515247E+000
 2.0698832E+000, 3.1565431E+000
 2.0717806E+000, 3.1651755E+000
 2.0736780E+000, 3.1811651E+000
 2.0755754E+000, 3.1995202E+000
 2.0774727E+000, 3.2239960E+000
 2.0793701E+000, 3.2581400E+000
 2.0812675E+000, 3.3002351E+000
 2.0831649E+000, 3.3535089E+000
 2.0852520E+000, 3.4185790E+000
 2.0873391E+000, 3.4866162E+000
 2.0894263E+000, 3.5539414E+000
 2.0915134E+000, 3.6186063E+000
 2.0936005E+000, 3.6710949E+000
 2.0956876E+000, 3.7097105E+000
 2.0977748E+000, 3.7300670E+000
 2.0998619E+000, 3.7421793E+000
 2.1019490E+000, 3.7388310E+000
 2.1040361E+000, 3.7332357E+000
 2.1061233E+000, 3.7291938E+000
 2.1082104E+000, 3.7252171E+000
 2.1102975E+000, 3.7301055E+000
 2.1123846E+000, 3.7380980E+000
 2.1144718E+000, 3.7568076E+000
 2.1165589E+000, 3.7840560E+000
 2.1186460E+000, 3.8151799E+000
 2.1207331E+000, 3.8422707E+000
 2.1228203E+000, 3.8649963E+000
 2.1249074E+000, 3.8813039E+000
 2.1269945E+000, 3.8860533E+000
 2.1290816E+000, 3.8777758E+000
 2.1311688E+000, 3.8538421E+000
 2.1329903E+000, 3.8213782E+000
 2.1348119E+000, 3.7811880E+000
 2.1366335E+000, 3.7392325E+000
 2.1384551E+000, 3.6964050E+000
 2.1402766E+000, 3.6559995E+000
 2.1420982E+000, 3.6215921E+000
 2.1439198E+000, 3.5949112E+000
 2.1459235E+000, 3.5753277E+000
 2.1479273E+000, 3.5638933E+000
 2.1499310E+000, 3.5603309E+000
 2.1519347E+000, 3.5636860E+000
 2.1539385E+000, 3.5705028E+000
 2.1559422E+000, 3.5776270E+000
 2.1579459E+000, 3.5785799E+000
 2.1601500E+000, 3.5768945E+000
 2.1623541E+000, 3.5698628E+000
 2.1645583E+000, 3.5596832E+000
 2.1667624E+000, 3.5441768E+000
 2.1689665E+000, 3.5240588E+000
 2.1711706E+000, 3.4976037E+000
 2.1733747E+000, 3.4686026E+000
 2.1755788E+000, 3.4372110E+000
 2.1777829E+000, 3.4043955E+000
 2.1799870E+000, 3.3729647E+000
 2.1821911E+000, 3.3417466E+000
 2.1843952E+000, 3.3160086E+000
 2.1865993E+000, 3.2988691E+000
 2.1888034E+000, 3.2892090E+000
 2.1910075E+000, 3.2901402E+000
 2.1932116E+000, 3.3022511E+000
 2.1954157E+000, 3.3217189E+000
 2.1976198E+000, 3.3444332E+000
 2.1998240E+000, 3.3671378E+000
 2.2020281E+000, 3.3841281E+000
 2.2042322E+000, 3.3942863E+000
