cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 8.6500000E+001, 1.1049250E+003, 2.1814006E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4464000E+002, 8.6570000E+000, 9.8903810E-002, 5.5469587E-001, 5.5088088E-001, 5.5890456E-001,NaN,NaN
 8.8500000E+001, 1.0936697E+003, 2.2028518E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4912000E+002, 8.8560000E+000, 9.4292644E-002, 5.3737973E-001, 5.2824220E-001, 5.4046524E-001,NaN,NaN
 9.0500000E+001, 1.0822832E+003, 2.2228740E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5360000E+002, 9.0550000E+000, 8.9927566E-002, 5.2104681E-001, 5.0653512E-001, 5.2268961E-001,NaN,NaN
 9.2500000E+001, 1.0707073E+003, 2.2413581E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.5808000E+002, 9.2540000E+000, 8.5792743E-002, 5.0561735E-001, 4.8573451E-001, 5.0551826E-001,NaN,NaN
 9.4500000E+001, 1.0590336E+003, 2.2587954E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.6256000E+002, 9.4530000E+000, 8.1873762E-002, 4.9101711E-001, 4.6581676E-001, 4.8889837E-001,NaN,NaN
 9.6500000E+001, 1.0473627E+003, 2.2758370E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.6704000E+002, 9.6520000E+000, 7.8157105E-002, 4.7717716E-001, 4.4675914E-001, 4.7278323E-001,NaN,NaN
 9.8500000E+001, 1.0358481E+003, 2.2919555E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7152000E+002, 9.8510000E+000, 7.4630490E-002, 4.6403378E-001, 4.2853934E-001, 4.5713199E-001,NaN,NaN
 1.0050000E+002, 1.0244030E+003, 2.3075096E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7600000E+002, 1.0050000E+001, 6.8102233E-002, 4.3960489E-001, 3.9452338E-001, 4.2708565E-001,NaN,NaN
 1.0250000E+002, 1.0130014E+003, 2.3224832E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8048000E+002, 1.0249000E+001, 6.5080039E-002, 4.2821482E-001, 3.7868195E-001, 4.1263591E-001,NaN,NaN
 1.0450000E+002, 1.0012578E+003, 2.3356255E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8496000E+002, 1.0448000E+001, 6.2206689E-002, 4.1731165E-001, 3.6358745E-001, 3.9854000E-001,NaN,NaN
 1.0650000E+002, 9.8920505E+002, 2.3456136E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8944000E+002, 1.0647000E+001, 5.9473356E-002, 4.0685311E-001, 3.4921616E-001, 3.8478183E-001,NaN,NaN
 1.0850000E+002, 9.7694148E+002, 2.3510092E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.9392000E+002, 1.0846000E+001, 5.6872217E-002, 3.9680081E-001, 3.3554407E-001, 3.7134896E-001,NaN,NaN
 1.1050000E+002, 9.6428054E+002, 2.3517757E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.9840000E+002, 1.1045000E+001, 5.4395871E-002, 3.8711963E-001, 3.2254661E-001, 3.5823214E-001,NaN,NaN
 1.1250000E+002, 9.5137722E+002, 2.3487849E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.0288000E+002, 1.1244000E+001, 5.2043078E-002, 3.7777424E-001, 3.0970094E-001, 3.4523773E-001,NaN,NaN
 1.1450000E+002, 9.3821746E+002, 2.3428854E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.0736000E+002, 1.1443000E+001, 4.9796463E-002, 3.6876418E-001, 2.9799282E-001, 3.3273892E-001,NaN,NaN
 1.1650000E+002, 9.2503997E+002, 2.3357548E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.1184000E+002, 1.1642000E+001, 4.7655086E-002, 3.6003730E-001, 2.8688482E-001, 3.2054269E-001,NaN,NaN
 1.1850000E+002, 9.1206828E+002, 2.3273809E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.1632000E+002, 1.1841000E+001, 4.3665924E-002, 3.4334071E-001, 2.6636718E-001, 2.9705705E-001,NaN,NaN
 1.2050000E+002, 8.9935068E+002, 2.3167082E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2080000E+002, 1.2040000E+001, 4.7083136E-002, 3.5733744E-001, 2.8342439E-001, 3.0705366E-001,NaN,NaN
 1.2250000E+002, 8.8695190E+002, 2.3045725E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2528000E+002, 1.2239000E+001, 4.5234680E-002, 3.4946661E-001, 2.7461265E-001, 2.9616243E-001,NaN,NaN
 1.2450000E+002, 8.7484210E+002, 2.2907562E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2976000E+002, 1.2438000E+001, 4.3464521E-002, 3.4176471E-001, 2.6624592E-001, 2.8556532E-001,NaN,NaN
 1.2650000E+002, 8.6288452E+002, 2.2751316E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.3424000E+002, 1.2637000E+001, 4.1768782E-002, 3.3421924E-001, 2.5830071E-001, 2.7526467E-001,NaN,NaN
 1.2850000E+002, 8.5102728E+002, 2.2580525E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.3872000E+002, 1.2836000E+001, 4.0143438E-002, 3.2681904E-001, 2.5075410E-001, 2.6526266E-001,NaN,NaN
