time(sec),flameHeight(cm)
-2.86811,38.7084
-2.86635,38.7084
-2.86434,37.8751
-2.86252,37.8751
-2.86046,37.4583
-2.85859,37.4583
-2.85646,37.0417
-2.85457,37.0417
-2.85243,36.625
-2.8505,36.625
-2.8483,37.0417
-2.84629,37.0417
-2.84397,36.625
-2.8419,36.625
-2.83952,36.2083
-2.83731,35.7917
-2.83488,36.2083
-2.83269,36.6251
-2.83019,37.0417
-2.82803,37.4583
-2.82543,37.8751
-2.82325,38.2917
-2.82068,38.7083
-2.8186,39.125
-2.81601,39.5416
-2.81371,39.5416
-2.81116,39.9582
-2.80882,40.7916
-2.80627,41.2083
-2.80393,41.6249
-2.80138,42.0416
-2.79902,42.0416
-2.79644,42.4583
-2.79408,42.875
-2.79149,21.6251
-2.78911,22.0418
-2.7865,22.4584
-2.78413,22.875
-2.78148,23.2917
-2.77907,23.7083
-2.77641,24.125
-2.77395,24.5417
-2.77125,24.9583
-2.76874,24.9584
-2.76613,24.5416
-2.7637,24.9584
-2.76109,24.9584
-2.75862,25.3751
-2.75594,25.7917
-2.7534,26.2083
-2.75072,26.625
-2.74809,26.625
-2.74535,22.875
-2.74273,23.2916
-2.73988,23.7083
-2.7373,23.7083
-2.73445,22.875
-2.73172,21.2084
-2.72882,21.6251
-2.72608,22.0417
-2.72306,22.0418
-2.72034,22.4584
-2.71718,22.4584
-2.71442,22.875
-2.71124,23.2917
-2.70842,23.7083
-2.70519,24.125
-2.70254,24.5416
-2.69939,24.125
-2.6968,24.5417
-2.69366,24.5417
-2.69124,24.9584
-2.68817,25.3751
-2.6857,25.3751
-2.68262,25.7917
-2.68027,25.7917
-2.67731,26.2084
-2.675,26.2084
-2.67214,26.2084
-2.66991,26.2083
-2.66709,26.2083
-2.66488,26.2084
-2.66213,26.6251
-2.65989,26.2083
-2.65709,26.625
-2.65487,27.0418
-2.65216,27.4584
-2.65003,27.8751
-2.64741,28.2917
-2.64529,28.2917
-2.64267,28.7083
-2.64059,29.1249
-2.63799,29.9583
-2.63585,30.3749
-2.63318,31.2084
-2.63091,31.2084
-2.62811,32.0417
-2.62589,32.4584
-2.62311,32.875
-2.62094,33.2917
-2.61825,33.7083
-2.6161,34.125
-2.61348,34.9583
-2.61131,35.375
-2.60867,35.7917
-2.60648,35.7917
-2.60386,36.6251
-2.60172,37.0417
-2.59911,37.4584
-2.59699,37.8751
-2.59439,38.7083
-2.59232,39.125
-2.58976,39.5416
-2.58775,39.9582
-2.58527,40.7917
-2.58333,40.7917
-2.58091,41.625
-2.57904,42.0417
-2.5767,42.4584
-2.57489,42.875
-2.57262,43.2916
-2.57082,43.7084
-2.56857,44.5417
-2.56674,44.5417
-2.56446,45.375
-2.56264,45.375
-2.56047,45.7917
-2.55877,46.2084
-2.55673,46.6251
-2.55511,47.0418
-2.55312,47.4584
-2.5515,47.875
-2.54953,48.2917
-2.54793,48.7083
-2.54599,49.125
-2.54443,49.125
-2.54247,49.5416
-2.54088,49.9584
-2.53891,50.3751
-2.53729,50.7917
-2.53533,51.2083
-2.53371,51.625
-2.53172,52.0418
-2.53009,52.4584
-2.52808,52.8751
-2.52641,53.2917
-2.52438,53.7083
-2.52268,54.1249
-2.52061,54.5417
-2.51889,54.9583
-2.51679,55.375
-2.51504,55.7917
-2.51293,56.625
-2.51115,57.0417
-2.50902,57.4584
-2.50728,57.8751
-2.50517,58.2917
-2.50345,58.7083
-2.50133,59.5416
-2.49963,59.9583
-2.49754,59.9584
-2.49585,60.5834
-2.4937,60.5834
-2.49194,61.4167
-2.48983,61.4167
-2.48809,62.2501
-2.48604,63.0833
-2.48435,63.0834
-2.48234,63.9167
-2.48069,64.75
