cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 2.1869697E+001, 1.1208779E+001, 1.1908165E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 7.4096386E-001, 1.9532825E+000, 1.5272693E+000, 1.0778300E+000, 4.6322233E-001, 2.1497819E-001, 1.8937323E-001, 5.8419099E-001, 7.0700145E-001, 5.3710297E-001, 2.7760876E-001
 2.2366667E+001, 1.1157359E+001, 1.1917852E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2349398E+000, 1.8098439E+000, 1.3148281E+000, 9.5129878E-001, 4.2857891E-001, 2.0912567E-001, 3.6752078E-001, 6.9104813E-001, 7.1615478E-001, 5.1186981E-001, 2.6801956E-001
 2.2863636E+001, 1.1133415E+001, 1.1963084E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.7289157E+000, 1.5118348E+000, 1.0645750E+000, 8.1247527E-001, 3.8842176E-001, 2.0229333E-001, 6.0331171E-001, 7.4646045E-001, 7.0427553E-001, 4.8027687E-001, 2.5903242E-001
 2.3360606E+001, 1.1007900E+001, 1.1851898E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2228916E+000, 1.1305527E+000, 8.2203766E-001, 6.7305577E-001, 3.4907106E-001, 1.9378478E-001, 7.2567954E-001, 7.3624198E-001, 6.6755196E-001, 4.4948960E-001, 2.4747840E-001
 2.3857576E+001, 1.0887099E+001, 1.1758989E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7168675E+000, 7.8188419E-001, 6.3199464E-001, 5.5786326E-001, 3.1291546E-001, 1.8559992E-001, 7.1051915E-001, 6.8617610E-001, 6.2042672E-001, 4.1916745E-001, 2.3626229E-001
 2.4354545E+001, 1.0746193E+001, 1.1645866E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2108434E+000, 5.1614209E-001, 4.9584529E-001, 4.6764514E-001, 2.7759026E-001, 1.7580138E-001, 6.0259581E-001, 6.1764789E-001, 5.7161024E-001, 3.8282961E-001, 2.2171601E-001
 2.4851515E+001, 1.0589989E+001, 1.1523007E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.7048193E+000, 3.1916560E-001, 4.0303221E-001, 3.9664995E-001, 2.4440062E-001, 1.6435369E-001, 4.3418619E-001, 5.4816561E-001, 5.2239829E-001, 3.4541227E-001, 2.0274149E-001
 2.5348485E+001, 1.0424456E+001, 1.1396907E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.1987952E+000, 2.0160560E-001, 3.4076616E-001, 3.4357023E-001, 2.1496459E-001, 1.5319562E-001, 2.6797966E-001, 4.8781472E-001, 4.8098664E-001, 3.0951426E-001, 1.8419504E-001
 2.5845455E+001, 1.0254627E+001, 1.1276495E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.6927711E+000, 1.4266083E-001, 2.9968476E-001, 3.0202144E-001, 1.9094958E-001, 1.4283207E-001, 1.5738861E-001, 4.4512208E-001, 4.4721943E-001, 2.7737090E-001, 1.6980391E-001
 2.6342424E+001, 1.0083517E+001, 1.1162438E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 5.1867470E+000, 1.1140293E-001, 2.6805104E-001, 2.6644610E-001, 1.6982962E-001, 1.3236082E-001, 1.0321428E-001, 4.1852084E-001, 4.1634219E-001, 2.4555332E-001, 1.5615214E-001
