s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS
 1.2600206E+001, 1.6153779E+001,-5.1629116E+000,-1.2063391E+001,-2.3904985E-001,-1.6373539E-004, 0.0000000E+000, 0.0000000E+000,-1.4922102E+000,-1.3117370E+000, 1.2737161E-001, 3.3179508E-004,-9.8605119E-065,-1.6498962E-065
 1.2800352E+001, 1.4657900E+001,-4.3277360E+000,-9.3851400E+000,-2.3690265E-001,-1.5857190E-004, 0.0000000E+000, 0.0000000E+000, 4.8521036E-001, 7.0796276E-001, 1.2737161E-001, 3.3179508E-004,-1.3989138E-064,-2.3332938E-065
 1.3000340E+001, 1.4666349E+001,-4.6834790E+000,-1.1127012E+001,-2.2796540E-001,-1.6168355E-004, 0.0000000E+000, 0.0000000E+000,-1.6437672E+000,-1.3722690E+000, 1.2737161E-001, 3.3179508E-004,-1.9733581E-064,-3.2745162E-065
 1.3200471E+001, 1.4994383E+001,-4.9598563E+000,-8.3787964E+000,-2.2243909E-001,-1.6154628E-004, 0.0000000E+000, 0.0000000E+000, 1.1820144E+000, 1.4331301E+000, 1.2737161E-001, 3.3179508E-004,-2.7640921E-064,-4.5573394E-065
 1.3400114E+001, 1.4796892E+001,-4.7608825E+000,-9.5202070E+000,-2.2325861E-001,-1.6106316E-004, 0.0000000E+000, 0.0000000E+000, 1.1689638E-001, 2.9238269E-001, 1.2737161E-001, 3.3179508E-004,-3.8483356E-064,-6.2995453E-065
 1.3600117E+001, 1.4753174E+001,-4.4377903E+000,-1.0935898E+001,-2.3262070E-001,-1.5876995E-004, 0.0000000E+000, 0.0000000E+000,-1.1077308E+000,-8.5329303E-001, 1.2737161E-001, 3.3179508E-004,-5.3477138E-064,-8.6851747E-065
 1.3800214E+001, 1.6576375E+001,-5.4691323E+000,-7.2863765E+000,-2.3019756E-001,-1.6193163E-004, 0.0000000E+000, 0.0000000E+000, 3.3515238E+000, 3.5905068E+000, 1.2737161E-001, 3.3179508E-004,-7.3686615E-064,-1.1875537E-064
 1.4000404E+001, 1.4082722E+001,-4.2340004E+000,-1.1540864E+001,-2.3076744E-001,-1.5915963E-004, 0.0000000E+000, 0.0000000E+000,-2.2171583E+000,-1.9230690E+000, 1.2737161E-001, 3.3179508E-004,-1.0105731E-063,-1.6163345E-064
 1.4200293E+001, 1.6345546E+001,-4.6852338E+000,-7.9276892E+000,-2.2773641E-001,-1.6379025E-004, 0.0000000E+000, 0.0000000E+000, 3.1544354E+000, 3.5047233E+000, 1.2737161E-001, 3.3179508E-004,-1.3807382E-063,-2.1923688E-064
 1.4400284E+001, 1.4418859E+001,-4.1592082E+000,-1.1772524E+001,-2.3801450E-001,-1.6271420E-004, 0.0000000E+000, 0.0000000E+000,-2.0113783E+000,-1.7510510E+000, 1.2737161E-001, 3.3179508E-004,-1.8668267E-063,-2.9453488E-064
 1.4600354E+001, 1.4764347E+001,-4.4049205E+000,-9.6883699E+000,-2.5159783E-001,-1.6511904E-004, 0.0000000E+000, 0.0000000E+000, 2.1613577E-001, 4.1929348E-001, 1.2737161E-001, 3.3179508E-004,-2.4883811E-063,-3.9045440E-064
 1.4800444E+001, 1.4543493E+001,-4.3063874E+000,-9.7207998E+000,-2.3720521E-001,-1.5948612E-004, 0.0000000E+000, 0.0000000E+000,-5.2422304E-002, 2.7894147E-001, 1.2737161E-001, 3.3179508E-004,-3.2526860E-063,-5.0803184E-064
 1.5000381E+001, 1.5409499E+001,-4.4762424E+000,-1.0585336E+001,-2.3784647E-001,-1.6005378E-004, 0.0000000E+000, 0.0000000E+000,-7.6924548E-002, 1.0991481E-001, 1.2737161E-001, 3.3179508E-004,-4.1740391E-063,-6.4945866E-064
 1.5200024E+001, 1.4640898E+001,-4.4575077E+000,-1.1420569E+001,-2.2531436E-001,-1.6580945E-004, 0.0000000E+000, 0.0000000E+000,-1.6521478E+000,-1.4626593E+000, 1.2737161E-001, 3.3179508E-004,-5.2867750E-063,-8.1992279E-064
 1.5400020E+001, 1.6617651E+001,-5.1613367E+000,-8.9736177E+000,-2.3892497E-001,-1.5944949E-004, 0.0000000E+000, 0.0000000E+000, 2.0083139E+000, 2.2436120E+000, 1.2737161E-001, 3.3179508E-004,-6.6552513E-063,-1.0293061E-063
