flow-time,hrr-total,hrr-kW,time-exp,HHR-theoretical-kW
1.3075,19555.51322,19.55551322,,
1.31,19117.82006,19.11782006,,
1.3125,18695.78159,18.69578159,,
1.315,18201.65176,18.20165176,,
1.3175,17617.29493,17.61729493,,
1.32,17092.74949,17.09274949,,
1.3225,16594.88774,16.59488774,,
1.325,16065.00616,16.06500616,,
1.3275,15563.29324,15.56329324,,
1.33,15182.08359,15.18208359,,
1.3325,14780.94068,14.78094068,,
1.335,14365.11786,14.36511786,,
1.3375,13904.01023,13.90401023,,
1.34,13537.64116,13.53764116,,
1.3425,13254.12784,13.25412784,,
1.345,13011.95281,13.01195281,,
1.3475,12873.19374,12.87319374,,
1.35,12829.92057,12.82992057,,
1.3525,12859.18051,12.85918051,,
1.355,13000.82008,13.00082008,,
1.3575,13268.84472,13.26884472,,
1.36,13570.12136,13.57012136,,
1.3625,13914.46169,13.91446169,,
1.365,14283.90822,14.28390822,,
1.3675,14716.69609,14.71669609,,
1.37,15051.9516,15.0519516,,
1.3725,15446.19748,15.44619748,,
1.375,15787.90447,15.78790447,,
1.3775,16063.40383,16.06340383,,
1.38,16173.14108,16.17314108,,
1.3825,16293.82919,16.29382919,,
1.385,16322.60678,16.32260678,,
1.3875,16391.68323,16.39168323,,
1.39,16378.27376,16.37827376,,
1.3925,16234.22016,16.23422016,,
1.395,16057.80642,16.05780642,,
1.3975,15763.2256,15.7632256,,
1.4,15369.80614,15.36980614,,
1.4025,15001.32716,15.00132716,,
1.405,14536.78598,14.53678598,,
1.4075,14105.68935,14.10568935,,
1.41,13736.29638,13.73629638,,
1.4125,13461.18398,13.46118398,,
1.415,13308.08335,13.30808335,,
1.4175,13111.45043,13.11145043,,
1.42,12845.41498,12.84541498,,
1.4225,12828.57207,12.82857207,,
1.425,12691.11448,12.69111448,,
1.4275,12540.39924,12.54039924,,
1.43,12362.28911,12.36228911,,
1.4325,12181.68556,12.18168556,,
1.435,11979.30141,11.97930141,,
1.4375,11620.02569,11.62002569,,
1.44,11355.04932,11.35504932,,
1.4425,11109.11328,11.10911328,,
1.445,10983.75926,10.98375926,,
1.4475,11023.80736,11.02380736,,
1.45,10959.59963,10.95959963,,
1.4525,10900.65043,10.90065043,,
1.455,10848.19323,10.84819323,,
1.4575,10724.52105,10.72452105,,
1.46,10711.77901,10.71177901,,
1.4625,10533.69574,10.53369574,,
1.465,10265.68033,10.26568033,,
1.4675,10026.84045,10.02684045,,
1.47,9786.694484,9.786694484,,
1.4725,9692.408942,9.692408942,,
1.475,9589.87987,9.58987987,,
1.4775,9517.07445,9.51707445,,
1.48,9398.275489,9.398275489,,
1.4825,9195.544204,9.195544204,,
1.485,8991.35589,8.99135589,,
1.4875,8772.571701,8.772571701,,
1.49,8525.840181,8.525840181,,
1.4925,8330.63363,8.33063363,,
1.495,8131.839557,8.131839557,,
1.4975,7886.94627,7.88694627,,
1.5,7633.208225,7.633208225,,
1.5025,7437.49956,7.43749956,,
1.505,7272.089295,7.272089295,,
1.5075,7141.946577,7.141946577,,
1.51,6983.128467,6.983128467,,
1.5125,6862.445559,6.862445559,,
1.515,6754.952754,6.754952754,,
1.5175,6656.32221,6.65632221,,
1.52,6591.048311,6.591048311,,
1.5225,6488.826426,6.488826426,,
1.525,6403.891401,6.403891401,,
1.5275,6310.583899,6.310583899,,
1.53,6220.193772,6.220193772,,
1.5325,6148.332713,6.148332713,,
1.535,6089.196449,6.089196449,,
1.5375,6058.923399,6.058923399,,
1.54,6011.874339,6.011874339,,
1.5425,5964.192531,5.964192531,,
1.545,5937.338811,5.937338811,,
1.5475,5923.79501,5.92379501,,
1.55,5943.781851,5.943781851,,
1.5525,5993.193766,5.993193766,,
1.555,6041.228124,6.041228124,,
1.5575,6082.05592,6.08205592,,
1.56,6108.915751,6.108915751,,
1.5625,6138.919969,6.138919969,,
1.565,6150.262765,6.150262765,,
1.5675,6204.254942,6.204254942,,
1.57,6291.022673,6.291022673,,
1.5725,6354.562654,6.354562654,,
1.575,6412.311108,6.412311108,,
1.5775,6457.654659,6.457654659,,
1.58,6498.95976,6.49895976,,
1.5825,6511.331366,6.511331366,,
1.585,6512.523448,6.512523448,,
1.5875,6509.638771,6.509638771,,
1.59,6491.19114,6.49119114,,
1.5925,6458.67396,6.45867396,,
1.595,6447.114648,6.447114648,,
1.5975,6425.471641,6.425471641,,
1.6,6413.350402,6.413350402,,
1.6025,6363.339334,6.363339334,,
1.605,6347.55628,6.34755628,,
1.6075,6307.201103,6.307201103,,
1.61,6275.985237,6.275985237,,
1.6125,6255.799698,6.255799698,,
1.615,6245.565807,6.245565807,,
1.6175,6278.301275,6.278301275,,
1.62,6296.485473,6.296485473,,
1.6225,6317.855144,6.317855144,,
1.625,6368.522246,6.368522246,,
1.6275,6418.903649,6.418903649,,
1.63,6510.304519,6.510304519,,
1.6325,6587.355851,6.587355851,,
1.635,6660.881818,6.660881818,,
1.6375,6721.316039,6.721316039,,
1.64,6752.359794,6.752359794,,
1.6425,6786.61759,6.78661759,,
1.645,6796.23449,6.79623449,,
1.6475,6803.464161,6.803464161,,
1.65,6820.602394,6.820602394,,
1.6525,6809.527241,6.809527241,,
1.655,6786.063826,6.786063826,,
1.6575,6765.823932,6.765823932,,
1.66,6748.618558,6.748618558,,
1.6625,6709.583701,6.709583701,,
1.665,6700.410299,6.700410299,,
1.6675,6692.229903,6.692229903,,
1.67,6677.463957,6.677463957,,
1.6725,6685.718852,6.685718852,,
1.675,6675.007726,6.675007726,,
1.6775,6684.61335,6.68461335,,
1.68,6699.22816,6.69922816,,
1.6825,6708.062519,6.708062519,,
1.685,6730.109495,6.730109495,,
1.6875,6743.113429,6.743113429,,
1.69,6769.607676,6.769607676,,
1.6925,6787.511825,6.787511825,,
1.695,6807.757584,6.807757584,,
1.6975,6838.848211,6.838848211,,
1.7,6875.004046,6.875004046,,
1.7025,6892.621307,6.892621307,,
1.705,6916.21149,6.91621149,,
1.7075,6986.304573,6.986304573,,
1.71,7044.156195,7.044156195,,
1.7125,7086.559084,7.086559084,,
1.715,7138.907364,7.138907364,,
1.7175,7186.700179,7.186700179,,
1.72,7232.061191,7.232061191,,
1.7225,7284.806597,7.284806597,,
1.725,7346.76732,7.34676732,,
1.7275,7401.742329,7.401742329,,
1.73,7471.879534,7.471879534,,
1.7325,7562.250556,7.562250556,,
1.735,7649.19143,7.64919143,,
1.7375,7713.940092,7.713940092,,
1.74,7783.992667,7.783992667,,
1.7425,7843.155498,7.843155498,,
1.745,7940.964646,7.940964646,,
1.7475,7983.71236,7.98371236,,
1.75,8084.440333,8.084440333,,
1.7525,8216.636641,8.216636641,,
1.755,8286.284208,8.286284208,,
1.7575,8377.020291,8.377020291,,
1.76,8497.943262,8.497943262,,
1.7625,8590.649215,8.590649215,,
1.765,8659.010195,8.659010195,,
1.7675,8746.713112,8.746713112,,
1.77,8821.476383,8.821476383,,
1.7725,8886.701707,8.886701707,,
1.775,8948.826961,8.948826961,,
1.7775,8994.278182,8.994278182,,
1.78,9094.912414,9.094912414,,
1.7825,9185.554601,9.185554601,,
1.785,9271.337469,9.271337469,,
1.7875,9374.785258,9.374785258,,
1.79,9476.656301,9.476656301,,
1.7925,9585.730768,9.585730768,,
1.795,9693.847325,9.693847325,,
1.7975,9800.318206,9.800318206,,
1.8,9897.048029,9.897048029,,
1.8025,9997.700349,9.997700349,,
1.805,10103.61195,10.10361195,,
1.8075,10210.3007,10.2103007,,
1.81,10320.33628,10.32033628,,
1.8125,10444.41563,10.44441563,,
1.815,10572.38663,10.57238663,,
1.8175,10695.099,10.695099,,
1.82,10852.6752,10.8526752,,
1.8225,10988.03911,10.98803911,,
1.825,11151.75516,11.15175516,,
1.8275,11317.36011,11.31736011,,
1.83,11518.01589,11.51801589,,
1.8325,11692.11315,11.69211315,,
1.835,11896.90906,11.89690906,,
1.8375,12101.36561,12.10136561,,
1.84,12308.16865,12.30816865,,
1.8425,12554.15529,12.55415529,,
1.845,12799.54792,12.79954792,,
1.8475,13056.54198,13.05654198,,
1.85,13307.53689,13.30753689,,
1.8525,13547.43097,13.54743097,,
1.855,13798.95738,13.79895738,,
1.8575,14040.76366,14.04076366,,
1.86,14281.49662,14.28149662,,
1.8625,14515.05517,14.51505517,,
