height(cm)_15O2_coarse,Radiative emission (kW/m)_15O2_coarse,height(cm)_15O2_medium,Radiative emission (kW/m)_15O2_medium,height(cm)_15O2_fine,Radiative emission (kW/m)_15O2_fine,height(cm)_17O2_coarse,Radiative emission (kW/m)_17O2_coarse,height(cm)_17O2_medium,Radiative emission (kW/m)_17O2_medium,height(cm)_17O2_fine,Radiative emission (kW/m)_17O2_fine,height(cm)_21O2_coarse,Radiative emission (kW/m)_21O2_coarse,height(cm)_21O2_medium,Radiative emission (kW/m)_21O2_medium,height(cm)_21O2_fine,Radiative emission (kW/m)_21O2_fine
52.9167,3.107549298,31.75,7.284410922,21.1667,7.354071763,52.9167,2.321284197,31.75,7.712994615,21.1667,8.125678491,52.9167,2.056461677,31.75,8.77641536,21.1667,10.23158276
53.75,3.018535201,32.25,7.205608651,21.5,7.357122384,53.75,2.19165049,32.25,7.609462271,21.5,8.117017101,53.75,1.92490936,32.25,8.606942109,21.5,10.21000217
54.5833,2.929744263,32.75,7.122686893,21.8333,7.358885775,54.5833,2.067501784,32.75,7.500152184,21.8333,8.107121118,54.5833,1.800650751,32.75,8.434526539,21.8333,10.18771831
55.4167,2.841319922,33.25,7.035716937,22.1667,7.359295193,55.4167,1.948871614,33.25,7.384957427,22.1667,8.095839347,55.4167,1.683515408,33.25,8.259378865,22.1667,10.16491322
56.25,2.753426787,33.75,6.944856512,22.5,7.358272938,56.25,1.835728733,33.75,7.263880761,22.5,8.083061787,56.25,1.573291956,33.75,8.081662779,22.5,10.14164273
57.0833,2.666237095,34.25,6.850311354,22.8333,7.355710173,57.0833,1.727992235,34.25,7.137039958,22.8333,8.068697505,57.0833,1.4697306,34.25,7.901533267,22.8333,10.11783585
57.9167,2.579915286,34.75,6.752300249,23.1667,7.351449553,57.9167,1.62554479,34.75,7.004677319,23.1667,8.052640905,57.9167,1.372553218,34.75,7.719169613,23.1667,10.09329514
58.75,2.494612852,35.25,6.651030908,23.5,7.345276324,58.75,1.528244991,35.25,6.86717564,23.5,8.034747398,58.75,1.281467776,35.25,7.534798716,23.5,10.06769945
59.5833,2.410472297,35.75,6.546692458,23.8333,7.336922183,59.5833,1.435940754,35.75,6.725070423,23.8333,8.01483594,59.5833,1.196182793,35.75,7.348708814,23.8333,10.04060974
60.4167,2.327631576,36.25,6.439466234,24.1667,7.326083331,60.4167,1.348483154,36.25,6.579041956,24.1667,7.992719612,60.4167,1.116418757,36.25,7.161260931,24.1667,10.01147912
61.25,2.246221717,36.75,6.329544572,24.5,7.312450039,61.25,1.265736649,36.75,6.429876078,24.5,7.968248229,61.25,1.041914634,36.75,6.972902929,24.5,9.979672404
62.0833,2.16635877,37.25,6.217138491,24.8333,7.295742798,62.0833,1.187579916,37.25,6.278397778,24.8333,7.941341575,62.0833,0.972427657,37.25,6.784179646,24.8333,9.944504461
62.9167,2.088135216,37.75,6.102460117,25.1667,7.275748846,62.9167,1.113896592,37.75,6.125397084,25.1667,7.911999288,62.9167,0.907726763,37.75,6.595720429,25.1667,9.905301649
63.75,2.011614084,38.25,5.985686756,25.5,7.252352462,63.75,1.044562636,38.25,5.971569744,25.5,7.880287753,63.75,0.847582649,38.25,6.408187673,25.5,9.861476567
64.5833,1.936826952,38.75,5.866932263,25.8333,7.225553297,64.5833,0.979437928,38.75,5.817483855,25.8333,7.846313455,64.5833,0.791758103,38.75,6.222196053,25.8333,9.812595827
65.4167,1.863776957,39.25,5.746249828,26.1667,7.195467932,65.4167,0.918366922,39.25,5.663571238,26.1667,7.810193773,65.4167,0.740001744,39.25,6.03823706,26.1667,9.758418861
66.25,1.7924473,39.75,5.623668492,26.5,7.162313018,66.25,0.861185175,39.75,5.510137925,26.5,7.772032342,66.25,0.692046993,39.75,5.856649845,26.5,9.698896243
67.0833,1.722812976,40.25,5.499242932,26.8333,7.126372126,67.0833,0.807724938,40.25,5.357390715,26.8333,7.731902322,67.0833,0.647616885,40.25,5.677654942,26.8333,9.634131342
67.9167,1.654850767,40.75,5.373091565,27.1667,7.087952515,67.9167,0.757815785,40.75,5.205477797,27.1667,7.689836827,67.9167,0.606433474,40.75,5.501431097,27.1667,9.564321454
68.75,1.58854355,41.25,5.245412827,27.5,7.047340509,68.75,0.711281579,41.25,5.054537377,27.5,7.645824596,68.75,0.568229247,41.25,5.328192245,27.5,9.489699614
69.5833,1.523880496,41.75,5.116484601,27.8333,7.004764853,69.5833,0.667937312,41.75,4.904741312,27.8333,7.599808892,69.5833,0.53275669,41.75,5.158226338,27.8333,9.41049158
70.4167,1.460857354,42.25,4.986656836,28.1667,6.960376005,70.4167,0.62758876,42.25,4.756320195,28.1667,7.551690445,70.4167,0.49979361,42.25,4.991883346,28.1667,9.326891005
71.25,1.399477812,42.75,4.856340484,28.5,6.914245828,71.25,0.590035702,42.75,4.609564118,28.5,7.501337601,71.25,0.469143641,42.75,4.829527178,28.5,9.239046838
72.0833,1.339752971,43.25,4.725990446,28.8333,6.866386769,72.0833,0.555077813,43.25,4.464804178,28.8333,7.448606579,72.0833,0.440634093,43.25,4.671480667,28.8333,9.147056882
72.9167,1.281696142,43.75,4.596080658,29.1667,6.816783512,72.9167,0.52252146,43.75,4.322386169,29.1667,7.393369171,72.9167,0.414112689,43.75,4.517989417,29.1667,9.050968226
73.75,1.22531576,44.25,4.467076379,29.5,6.765426345,73.75,0.49218493,44.25,4.18264613,29.5,7.335538659,73.75,0.389444258,44.25,4.369212461,29.5,8.950790342
74.5833,1.170612096,44.75,4.33941068,29.8333,6.712336113,74.5833,0.463900153,44.75,4.045892347,29.8333,7.275083853,74.5833,0.366507232,44.75,4.225232485,29.8333,8.846524855
75.4167,1.11758119,45.25,4.213469964,30.1667,6.657576305,75.4167,0.437511239,45.25,3.912393281,30.1667,7.212028839,75.4167,0.345189963,45.25,4.086070654,30.1667,8.7382082
76.25,1.066223974,45.75,4.089587365,30.5,6.601255076,76.25,0.412872318,45.75,3.782369149,30.5,7.146444571,76.25,0.325387302,45.75,3.951694989,30.5,8.625955018
77.0833,1.016554579,46.25,3.968039109,30.8333,6.543523411,77.0833,0.389847226,46.25,3.655985435,30.8333,7.078441438,77.0833,0.306998434,46.25,3.822022656,30.8333,8.509989349
77.9167,0.968602355,46.75,3.849039851,31.1667,6.484572912,77.9167,0.368311078,46.75,3.5333496,31.1667,7.008166979,77.9167,0.289925785,46.75,3.696924282,31.1667,8.390655048
78.75,0.922406448,47.25,3.732736583,31.5,6.424631103,78.75,0.348151383,47.25,3.414513521,31.5,6.935805711,78.75,0.274074463,47.25,3.576238819,31.5,8.268404053
79.5833,0.878005697,47.75,3.619205319,31.8333,6.363948106,79.5833,0.329266837,47.75,3.299481903,31.8333,6.861574972,79.5833,0.259351955,47.75,3.45979718,31.8333,8.143766827
80.4167,0.835427353,48.25,3.508457126,32.1667,6.302771769,80.4167,0.311564329,48.25,3.188224169,32.1667,6.785713772,80.4167,0.245668153,48.25,3.34744403,32.1667,8.017311906
81.25,0.794677373,48.75,3.400456827,32.5,6.241316285,81.25,0.294956471,48.75,3.080685546,32.5,6.708466939,81.25,0.232936259,48.75,3.239047116,32.5,7.889602065
