cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori
 7.3500000E+001, 4.6547477E+002, 1.9223314E-001, 9.3896595E-003, 1.0981959E-005, 4.0584427E-006, 2.2588341E-002, 1.0981959E-005, 7.7576284E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0045872E+002, 1.5386591E-001,NaN,NaN
 7.4500000E+001, 4.6148841E+002, 1.9258964E-001, 9.1961962E-003, 7.3894709E-006, 2.7591928E-006, 2.2196288E-002, 7.3894709E-006, 7.7600034E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0183486E+002, 1.5047457E-001,NaN,NaN
 7.5500000E+001, 4.5766151E+002, 1.9293268E-001, 9.0090196E-003, 5.1302312E-006, 1.9073399E-006, 2.1819088E-002, 5.1302312E-006, 7.7622704E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0321101E+002, 1.4394339E-001,NaN,NaN
 7.6500000E+001, 4.5396306E+002, 1.9326142E-001, 8.8290944E-003, 3.6080194E-006, 1.3182753E-006, 2.1457631E-002, 3.6080194E-006, 7.7644332E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0458716E+002, 1.4079766E-001,NaN,NaN
 7.7500000E+001, 4.5041173E+002, 1.9357102E-001, 8.6592929E-003, 2.5884692E-006, 9.2292648E-007, 2.1117235E-002, 2.5884692E-006, 7.7664636E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0596330E+002, 1.3772345E-001,NaN,NaN
 7.8500000E+001, 4.4708246E+002, 1.9386245E-001, 8.4992445E-003, 1.8682119E-006, 6.5005803E-007, 2.0796810E-002, 1.8682119E-006, 7.7683711E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0733945E+002, 1.3174377E-001,NaN,NaN
 7.9500000E+001, 4.4398223E+002, 1.9412839E-001, 8.3530542E-003, 1.3802217E-006, 4.6982767E-007, 2.0504424E-002, 1.3802217E-006, 7.7701090E-001, 0.0000000E+000,NaN,NaN,NaN, 1.0871560E+002, 1.2881068E-001,NaN,NaN
 8.0500000E+001, 4.4112017E+002, 1.9437675E-001, 8.2164307E-003, 1.0338874E-006, 3.4382763E-007, 2.0231363E-002, 1.0338874E-006, 7.7717304E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1009174E+002, 1.2302193E-001,NaN,NaN
 8.1500000E+001, 4.3842587E+002, 1.9460634E-001, 8.0900723E-003, 7.8405753E-007, 2.5576381E-007, 1.9978941E-002, 7.8405753E-007, 7.7732282E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1146789E+002, 1.2019013E-001,NaN,NaN
 8.2500000E+001, 4.3569554E+002, 1.9483587E-001, 7.9636851E-003, 6.1221129E-007, 1.9654738E-007, 1.9726597E-002, 6.1221129E-007, 7.7747243E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1284404E+002, 1.1743989E-001,NaN,NaN
 8.3500000E+001, 4.3300360E+002, 1.9506788E-001, 7.8358904E-003, 4.8194889E-007, 1.5170032E-007, 1.9471518E-002, 4.8194889E-007, 7.7762360E-001, 0.0000000E+000,NaN,NaN,NaN, 1.1422018E+002, 1.1228931E-001,NaN,NaN
