s,m/s
Time,"w"
 1.2572219E+000, 3.0068679E+000
 1.2582342E+000, 2.9998997E+000
 1.2592464E+000, 2.9877127E+000
 1.2602587E+000, 2.9734753E+000
 1.2612709E+000, 2.9615468E+000
 1.2622832E+000, 2.9575660E+000
 1.2632954E+000, 2.9570182E+000
 1.2643077E+000, 2.9593320E+000
 1.2653199E+000, 2.9695096E+000
 1.2662208E+000, 2.9830363E+000
 1.2671217E+000, 2.9960158E+000
 1.2680226E+000, 3.0242232E+000
 1.2689235E+000, 3.0493855E+000
 1.2698244E+000, 3.0696149E+000
 1.2707253E+000, 3.0930842E+000
 1.2716262E+000, 3.1149285E+000
 1.2725271E+000, 3.1404789E+000
 1.2734280E+000, 3.1567724E+000
 1.2743289E+000, 3.1717297E+000
 1.2752298E+000, 3.1659297E+000
 1.2762208E+000, 3.1656736E+000
 1.2772117E+000, 3.1524639E+000
 1.2782027E+000, 3.1279916E+000
 1.2791937E+000, 3.1163792E+000
 1.2801847E+000, 3.0938441E+000
 1.2811757E+000, 3.0652614E+000
 1.2821667E+000, 3.0478281E+000
 1.2831577E+000, 3.0328489E+000
 1.2841486E+000, 3.0220155E+000
 1.2851396E+000, 3.0139500E+000
 1.2861306E+000, 3.0037029E+000
 1.2869731E+000, 2.9955258E+000
 1.2878156E+000, 3.0060620E+000
 1.2886581E+000, 3.0133760E+000
 1.2895006E+000, 3.0246417E+000
 1.2903431E+000, 3.0329118E+000
 1.2911857E+000, 2.9979341E+000
 1.2920282E+000, 3.0107168E+000
 1.2928707E+000, 3.0160015E+000
 1.2937132E+000, 3.0217871E+000
 1.2945557E+000, 3.0211153E+000
 1.2953982E+000, 3.0250291E+000
 1.2962407E+000, 3.0281660E+000
 1.2970832E+000, 3.0699279E+000
 1.2979257E+000, 3.0599769E+000
 1.2987682E+000, 3.0421133E+000
 1.2996107E+000, 3.0247329E+000
 1.3004532E+000, 3.0076768E+000
 1.3012957E+000, 3.0028270E+000
 1.3021382E+000, 2.9828799E+000
 1.3029807E+000, 2.9590374E+000
 1.3038233E+000, 2.9412881E+000
 1.3046658E+000, 2.9167219E+000
 1.3055083E+000, 2.8973193E+000
 1.3063508E+000, 2.8802496E+000
 1.3072775E+000, 2.8582992E+000
 1.3082043E+000, 2.8395970E+000
 1.3091310E+000, 2.8217691E+000
 1.3100578E+000, 2.8094869E+000
 1.3109846E+000, 2.8019440E+000
 1.3119113E+000, 2.7966802E+000
 1.3128381E+000, 2.7898151E+000
 1.3137648E+000, 2.7856804E+000
 1.3146916E+000, 2.7874394E+000
 1.3156183E+000, 2.7893650E+000
 1.3165451E+000, 2.7976533E+000
 1.3174719E+000, 2.8061824E+000
 1.3183986E+000, 2.8144660E+000
 1.3193254E+000, 2.8256693E+000
 1.3202521E+000, 2.8403083E+000
 1.3211789E+000, 2.8557250E+000
