cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.8800000E+002, 1.5025000E+001, 1.8372153E-001, 8.3844297E-001, 8.6810085E-001, 8.7534026E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.9248000E+002, 1.5224000E+001, 1.8372153E-001, 8.3844297E-001, 8.6810085E-001, 8.7534026E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.9696000E+002, 1.5423000E+001, 1.8372153E-001, 8.3844297E-001, 8.6810085E-001, 8.7534026E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.0144000E+002, 1.5622000E+001, 1.5692303E-001, 7.3825149E-001, 7.6389550E-001, 7.7008269E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.0592000E+002, 1.5821000E+001, 1.5692303E-001, 7.3825149E-001, 7.6389550E-001, 7.7008269E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.1040000E+002, 1.6020000E+001, 1.5692303E-001, 7.3825149E-001, 7.6389550E-001, 7.7008269E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.1488000E+002, 1.6219000E+001, 1.5692303E-001, 7.3825149E-001, 7.6389550E-001, 7.7008269E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.1936000E+002, 1.6418000E+001, 1.5692303E-001, 7.3825149E-001, 7.6389550E-001, 7.7008269E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.2384000E+002, 1.6617000E+001, 1.3457933E-001, 6.5211704E-001, 6.7446787E-001, 6.7980214E-001,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 4.2832000E+002, 1.6816000E+001, 1.3457933E-001, 6.5211704E-001, 6.7446787E-001, 6.7980214E-001,NaN,NaN
