cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 1.0050000E+002, 1.0474329E+003, 2.1399222E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7600000E+002, 1.0050000E+001, 1.0797087E-001, 6.3165987E-001, 5.6719756E-001, 6.0724372E-001,NaN,NaN
 1.0250000E+002, 1.0342826E+003, 2.1811912E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8048000E+002, 1.0249000E+001, 1.0325647E-001, 6.1465111E-001, 5.4559949E-001, 5.8635533E-001,NaN,NaN
 1.0450000E+002, 1.0211052E+003, 2.2177884E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8496000E+002, 1.0448000E+001, 9.8771464E-002, 5.9833379E-001, 5.2501824E-001, 5.6605201E-001,NaN,NaN
 1.0650000E+002, 1.0078804E+003, 2.2491647E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.8944000E+002, 1.0647000E+001, 9.4502537E-002, 5.8265399E-001, 5.0541636E-001, 5.4630882E-001,NaN,NaN
 1.0850000E+002, 9.9483113E+002, 2.2771153E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.9392000E+002, 1.0846000E+001, 9.0437546E-002, 5.6756242E-001, 4.8675693E-001, 5.2710536E-001,NaN,NaN
 1.1050000E+002, 9.8152956E+002, 2.3044813E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.9840000E+002, 1.1045000E+001, 8.6565130E-002, 5.5301396E-001, 4.6900320E-001, 5.0842510E-001,NaN,NaN
 1.1250000E+002, 9.6821156E+002, 2.3309806E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.0288000E+002, 1.1244000E+001, 8.3834621E-002, 5.4039592E-001, 4.4998746E-001, 4.8942569E-001,NaN,NaN
 1.1450000E+002, 9.5480678E+002, 2.3549111E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.0736000E+002, 1.1443000E+001, 8.0279685E-002, 5.2683657E-001, 4.3397343E-001, 4.7178066E-001,NaN,NaN
 1.1650000E+002, 9.4157633E+002, 2.3734995E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.1184000E+002, 1.1642000E+001, 7.6889208E-002, 5.1370552E-001, 4.1875555E-001, 4.5462279E-001,NaN,NaN
 1.1850000E+002, 9.2840790E+002, 2.3863456E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.1632000E+002, 1.1841000E+001, 7.0567615E-002, 4.8860570E-001, 3.9056717E-001, 4.2174602E-001,NaN,NaN
 1.2050000E+002, 9.1572158E+002, 2.3938283E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2080000E+002, 1.2040000E+001, 7.4681347E-002, 4.9837134E-001, 4.0891731E-001, 4.3210967E-001,NaN,NaN
 1.2250000E+002, 9.0350840E+002, 2.3971758E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2528000E+002, 1.2239000E+001, 7.1782110E-002, 4.8656296E-001, 3.9668449E-001, 4.1705327E-001,NaN,NaN
 1.2450000E+002, 8.9143952E+002, 2.3943266E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2976000E+002, 1.2438000E+001, 6.9006115E-002, 4.7503522E-001, 3.8504164E-001, 4.0244539E-001,NaN,NaN
 1.2650000E+002, 8.7942088E+002, 2.3873557E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.3424000E+002, 1.2637000E+001, 6.6347258E-002, 4.6377112E-001, 3.7395803E-001, 3.8828390E-001,NaN,NaN
 1.2850000E+002, 8.6745467E+002, 2.3781357E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.3872000E+002, 1.2836000E+001, 6.3799882E-002, 4.5275559E-001, 3.6340384E-001, 3.7456656E-001,NaN,NaN
 1.3050000E+002, 8.5561109E+002, 2.3672512E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.4320000E+002, 1.3035000E+001, 6.1358497E-002, 4.4197503E-001, 3.5335008E-001, 3.6129078E-001,NaN,NaN
 1.3250000E+002, 8.4417117E+002, 2.3528143E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.4768000E+002, 1.3234000E+001, 5.9018049E-002, 4.3141742E-001, 3.4376894E-001, 3.4845364E-001,NaN,NaN
 1.3450000E+002, 8.3311509E+002, 2.3346096E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.5216000E+002, 1.3433000E+001, 5.4621150E-002, 4.1093015E-001, 3.2591849E-001, 3.2408009E-001,NaN,NaN
 1.3650000E+002, 8.2226030E+002, 2.3143746E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.5664000E+002, 1.3632000E+001, 5.2556120E-002, 4.0098304E-001, 3.1759873E-001, 3.1253431E-001,NaN,NaN
 1.3850000E+002, 8.1167135E+002, 2.2939185E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.6112000E+002, 1.3831000E+001, 5.0574276E-002, 3.9122341E-001, 3.0965071E-001, 3.0140839E-001,NaN,NaN
 1.4050000E+002, 8.0122089E+002, 2.2745735E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.6560000E+002, 1.4030000E+001, 4.8671763E-002, 3.8164485E-001, 3.0205197E-001, 2.9069590E-001,NaN,NaN
 1.4250000E+002, 7.9092533E+002, 2.2538708E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.7008000E+002, 1.4229000E+001, 4.6844912E-002, 3.7224175E-001, 2.9478109E-001, 2.8038954E-001,NaN,NaN
 1.4450000E+002, 7.8078312E+002, 2.2320540E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.7456000E+002, 1.4428000E+001, 4.5090322E-002, 3.6300926E-001, 2.8781769E-001, 2.7048136E-001,NaN,NaN
 1.4650000E+002, 7.7066605E+002, 2.2104683E+002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.7904000E+002, 1.4627000E+001, 4.3404736E-002, 3.5394300E-001, 2.8114246E-001, 2.6096278E-001,NaN,NaN
