s,kW,kW
Time,HRR,HRR_rad_loss
6.295680E+00,1.637211E+01,6.007781E+00
6.304700E+00,1.611696E+01,5.392257E+00
6.314310E+00,1.507427E+01,4.813994E+00
6.324360E+00,1.396049E+01,5.532598E+00
6.335560E+00,1.341768E+01,5.535603E+00
6.347300E+00,1.336158E+01,5.170707E+00
6.358880E+00,1.344434E+01,4.829649E+00
6.369880E+00,1.360919E+01,4.604295E+00
6.381410E+00,1.388928E+01,5.832129E+00
6.394110E+00,1.427264E+01,6.057902E+00
6.406540E+00,1.483750E+01,5.894026E+00
6.418800E+00,1.582402E+01,5.556531E+00
6.430470E+00,1.673412E+01,5.359892E+00
6.441910E+00,1.712813E+01,7.280825E+00
6.453130E+00,1.729497E+01,7.239311E+00
6.464440E+00,1.757373E+01,6.645407E+00
6.475970E+00,1.781947E+01,5.949568E+00
6.487400E+00,1.716211E+01,5.220128E+00
6.498870E+00,1.596034E+01,7.784803E+00
6.510040E+00,1.461625E+01,6.859455E+00
6.521610E+00,1.365401E+01,5.411504E+00
6.532620E+00,1.232641E+01,4.104766E+00
6.543860E+00,1.212182E+01,3.184651E+00
6.554500E+00,1.277474E+01,5.464327E+00
6.564710E+00,1.373092E+01,5.441812E+00
6.574440E+00,1.488228E+01,5.341224E+00
6.583800E+00,1.595411E+01,5.006978E+00
6.593400E+00,1.716496E+01,4.679326E+00
6.604240E+00,1.826188E+01,7.360714E+00
6.615350E+00,1.857099E+01,7.290919E+00
6.626260E+00,1.868301E+01,6.908240E+00
6.637230E+00,1.846378E+01,6.297613E+00
6.648740E+00,1.826417E+01,5.572968E+00
6.660010E+00,1.795667E+01,8.815641E+00
6.670540E+00,1.728107E+01,7.989178E+00
6.680330E+00,1.655487E+01,6.931497E+00
6.690140E+00,1.549828E+01,5.765422E+00
6.699970E+00,1.456264E+01,4.758174E+00
6.710230E+00,1.398227E+01,6.717444E+00
6.721220E+00,1.348798E+01,6.119610E+00
6.732190E+00,1.300602E+01,5.277365E+00
6.741890E+00,1.297234E+01,4.588390E+00
6.751220E+00,1.310212E+01,4.055718E+00
6.760760E+00,1.329267E+01,5.988508E+00
6.770290E+00,1.347541E+01,5.893031E+00
6.780030E+00,1.387141E+01,5.741606E+00
6.790190E+00,1.405471E+01,5.250670E+00
6.800370E+00,1.419609E+01,4.699043E+00
6.810740E+00,1.423317E+01,7.096822E+00
6.820840E+00,1.409661E+01,6.637016E+00
6.832730E+00,1.414208E+01,5.953272E+00
6.844610E+00,1.422444E+01,4.982690E+00
6.856940E+00,1.443507E+01,4.209961E+00
6.869040E+00,1.467515E+01,8.035167E+00
6.880580E+00,1.483342E+01,7.165107E+00
6.891990E+00,1.498533E+01,6.331461E+00
6.903780E+00,1.482893E+01,5.211474E+00
6.916050E+00,1.464902E+01,4.167072E+00
6.928440E+00,1.481897E+01,7.724226E+00
6.940570E+00,1.484248E+01,7.118693E+00
6.952390E+00,1.455693E+01,6.227646E+00
6.964250E+00,1.422039E+01,5.291841E+00
6.975150E+00,1.407668E+01,4.622513E+00
6.985450E+00,1.422569E+01,6.657781E+00
6.995500E+00,1.426322E+01,6.264180E+00
7.005060E+00,1.417868E+01,5.684286E+00
7.014980E+00,1.386168E+01,5.346624E+00
7.025490E+00,1.406937E+01,5.298923E+00
7.036330E+00,1.450823E+01,6.104977E+00
7.046360E+00,1.491449E+01,6.226463E+00
7.055730E+00,1.561761E+01,5.977791E+00
7.064680E+00,1.631868E+01,5.698713E+00
7.073820E+00,1.664998E+01,5.391224E+00
7.082960E+00,1.695099E+01,6.635753E+00
