D,m,cm,m/s,m/s
height_over_D,z,x,UMean_x,UMean_z
2.000000E+00,5.300000E-01,1.180000E+01,-5.654550E-02,9.735090E-02
2.000000E+00,5.300000E-01,1.220000E+01,-5.527410E-02,9.483190E-02
2.000000E+00,5.300000E-01,1.260000E+01,-5.433450E-02,9.228020E-02
2.000000E+00,5.300000E-01,1.300000E+01,-5.347260E-02,8.942000E-02
2.000000E+00,5.300000E-01,1.340000E+01,-5.282960E-02,8.679250E-02
2.000000E+00,5.300000E-01,1.380000E+01,-5.242770E-02,8.356800E-02
2.000000E+00,5.300000E-01,1.420000E+01,-5.181170E-02,8.073580E-02
2.000000E+00,5.300000E-01,1.460000E+01,-5.108070E-02,7.868830E-02
2.000000E+00,5.300000E-01,1.500000E+01,-5.000740E-02,7.763880E-02
2.500000E+00,6.000000E-01,-1.490000E+01,4.979910E-02,9.045630E-02
2.500000E+00,6.000000E-01,-1.460000E+01,5.080500E-02,9.274680E-02
2.500000E+00,6.000000E-01,-1.420000E+01,5.171590E-02,9.496160E-02
2.500000E+00,6.000000E-01,-1.380000E+01,5.301060E-02,9.664160E-02
2.500000E+00,6.000000E-01,-1.359920E+01,5.427110E-02,9.866590E-02
2.500000E+00,6.000000E-01,-1.339920E+01,5.593080E-02,9.954900E-02
2.500000E+00,6.000000E-01,-1.302770E+01,5.692070E-02,1.020360E-01
2.500000E+00,6.000000E-01,-1.282830E+01,5.647510E-02,1.013220E-01
2.500000E+00,6.000000E-01,-1.280060E+01,5.564570E-02,9.946420E-02
2.500000E+00,6.000000E-01,-1.260000E+01,5.713070E-02,1.023610E-01
2.500000E+00,6.000000E-01,-1.220000E+01,5.836440E-02,1.045410E-01
2.500000E+00,6.000000E-01,-1.199940E+01,6.006850E-02,1.081560E-01
2.500000E+00,6.000000E-01,-1.179940E+01,6.006910E-02,1.107770E-01
2.500000E+00,6.000000E-01,-1.140000E+01,6.131300E-02,1.167000E-01
2.500000E+00,6.000000E-01,-1.110050E+01,6.211190E-02,1.244060E-01
2.500000E+00,6.000000E-01,-1.090050E+01,6.311480E-02,1.187280E-01
2.500000E+00,6.000000E-01,-1.060000E+01,6.394830E-02,1.308170E-01
2.500000E+00,6.000000E-01,-1.020000E+01,6.432650E-02,1.491510E-01
