cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 2.0378788E+001, 1.0909045E+001, 8.8589350E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.4096386E-001, 1.8979721E+000, 1.4587806E+000, 1.0158288E+000, 3.8460379E-001, 1.8597395E-001, 2.0777510E-001, 6.1371041E-001, 6.9787269E-001, 4.5786662E-001, 1.9269051E-001
 2.0875758E+001, 1.0980550E+001, 8.9992970E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.4698795E-001, 1.9391035E+000, 1.5280705E+000, 1.0475477E+000, 3.8964238E-001, 1.8827325E-001, 1.1333873E-001, 5.5400692E-001, 6.9611536E-001, 4.5238812E-001, 1.9539989E-001
 2.1372727E+001, 1.1035457E+001, 9.1534597E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.4698795E-001, 1.9318393E+000, 1.5067031E+000, 1.0265296E+000, 3.9744733E-001, 1.8825316E-001, 1.2606472E-001, 5.6956977E-001, 7.0409202E-001, 4.5804722E-001, 1.9277071E-001
 2.1869697E+001, 1.1081426E+001, 9.3296680E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 7.4096386E-001, 1.8761197E+000, 1.4118268E+000, 9.5506437E-001, 4.0210172E-001, 1.8594149E-001, 2.5324634E-001, 6.3798059E-001, 7.1492842E-001, 4.6562365E-001, 1.8549220E-001
 2.2366667E+001, 1.1115668E+001, 9.5205058E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.2349398E+000, 1.7507713E+000, 1.2834428E+000, 8.7499968E-001, 4.0376055E-001, 1.8239218E-001, 4.3281173E-001, 6.8900092E-001, 7.2051593E-001, 4.7742459E-001, 1.7771573E-001
 2.2863636E+001, 1.1188455E+001, 9.7822799E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 1.7289157E+000, 1.5351534E+000, 1.0915770E+000, 7.8476073E-001, 3.9404459E-001, 1.7648282E-001, 5.9322503E-001, 7.2858519E-001, 7.1197712E-001, 4.7597089E-001, 1.6271251E-001
 2.3360606E+001, 1.1122113E+001, 9.8224373E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.2228916E+000, 1.2120148E+000, 8.9028838E-001, 6.9386190E-001, 3.6382801E-001, 1.7174395E-001, 6.9611711E-001, 7.3044417E-001, 6.8380363E-001, 4.5599015E-001, 1.6057014E-001
 2.3857576E+001, 1.1090481E+001, 9.9420263E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 2.7168675E+000, 8.3142344E-001, 6.7859219E-001, 5.8853347E-001, 3.2663800E-001, 1.6772206E-001, 6.9409965E-001, 6.7347521E-001, 6.3163163E-001, 4.2630975E-001, 1.6163701E-001
 2.4354545E+001, 1.1038750E+001, 1.0029150E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.2108434E+000, 5.1940158E-001, 5.2748555E-001, 4.8323978E-001, 2.8473285E-001, 1.6323879E-001, 5.9078141E-001, 6.1124386E-001, 5.7037881E-001, 3.7961348E-001, 1.6375864E-001
 2.4851515E+001, 1.0969974E+001, 1.0095231E+001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN, 3.7048193E+000, 3.1615818E-001, 4.1759452E-001, 4.0182062E-001, 2.4118766E-001, 1.5822726E-001, 4.4262962E-001, 5.3866957E-001, 5.2023215E-001, 3.2135463E-001, 1.6850049E-001
