,r(cm),TMean(K),T_rms(K),ur_rms(m/s),uz_rms(m/s),ur_Mean(m/s),uz_Mean(m/s),uzT_cov((m/s)K),uruz_cov(m/s)
223,-8.86,687.79,488.9376,0.4893,0.6462,0.0401,1.1279,160.9717,-0.1229
224,-8.83,688.38,489.1217,0.4893,0.6485,0.0398,1.1307,161.9387,-0.1237
225,-8.8,688.97,489.3056,0.4892,0.6507,0.0395,1.1336,162.8236,-0.1245
226,-8.77,689.56,489.4997,0.4892,0.6529,0.0391,1.1365,163.7051,-0.1254
227,-8.74,690.16,489.6836,0.4891,0.6552,0.0388,1.1394,164.5717,-0.1262
228,-8.7,690.75,489.8673,0.489,0.6574,0.0385,1.1423,165.4563,-0.127
229,-8.67,691.34,490.051,0.489,0.6596,0.0382,1.1452,166.3274,-0.1278
230,-8.64,691.93,490.2346,0.4889,0.6618,0.0379,1.1481,167.1952,-0.1286
231,-8.61,692.53,490.4182,0.4888,0.664,0.0376,1.151,168.048,-0.1295
232,-8.58,693.12,490.6119,0.4888,0.6662,0.0373,1.1539,168.9188,-0.1303
233,-8.54,693.71,490.7953,0.4887,0.6683,0.037,1.1568,169.7763,-0.1311
234,-8.51,694.27,490.9582,0.4886,0.6705,0.0367,1.1596,170.6345,-0.1319
235,-8.48,694.67,491.0499,0.4885,0.6725,0.0364,1.1621,171.394,-0.1325
236,-8.45,695.06,491.1415,0.4883,0.6745,0.0362,1.1645,172.2326,-0.1331
237,-8.42,695.46,491.223,0.4882,0.6765,0.036,1.167,172.9882,-0.1337
238,-8.38,695.86,491.3146,0.488,0.6785,0.0357,1.1695,173.7417,-0.1344
239,-8.35,696.26,491.4061,0.4879,0.6805,0.0355,1.172,174.4933,-0.135
240,-8.32,696.65,491.4875,0.4877,0.6825,0.0352,1.1744,175.3242,-0.1356
241,-8.29,697.05,491.5791,0.4876,0.6845,0.035,1.1769,176.0719,-0.1362
242,-8.26,697.45,491.6706,0.4874,0.6864,0.0348,1.1794,176.8075,-0.1368
243,-8.22,697.85,491.752,0.4873,0.6884,0.0345,1.1819,177.5111,-0.1374
244,-8.19,698.24,491.8435,0.4871,0.6904,0.0343,1.1844,178.3045,-0.1381
245,-8.16,698.64,491.935,0.487,0.6923,0.034,1.1868,179.154,-0.1387
246,-8.13,699.04,492.0163,0.4868,0.6943,0.0338,1.1893,179.8317,-0.1393
247,-8.1,699.43,492.1077,0.4867,0.6962,0.0336,1.1918,180.6193,-0.1399
248,-8.06,699.83,492.1991,0.4865,0.6982,0.0333,1.1943,181.293,-0.1405
249,-8.03,700.23,492.2804,0.4864,0.7001,0.0331,1.1967,182.1348,-0.1412
250,-8.0,700.56,492.3007,0.4861,0.702,0.0329,1.199,182.8286,-0.1416
251,-7.97,700.83,492.2499,0.4858,0.7039,0.0328,1.2009,183.4733,-0.1419
252,-7.94,701.09,492.189,0.4855,0.7058,0.0328,1.2029,184.0588,-0.1422
253,-7.9,701.35,492.128,0.4852,0.7077,0.0327,1.2048,184.7135,-0.1425
254,-7.87,701.62,492.0772,0.4849,0.7096,0.0326,1.2068,185.385,-0.1428
255,-7.84,701.88,492.0163,0.4845,0.7115,0.0326,1.2087,186.0376,-0.1431
256,-7.81,702.14,491.9553,0.4842,0.7134,0.0325,1.2107,186.6191,-0.1434
257,-7.78,702.41,491.9045,0.4839,0.7153,0.0324,1.2127,187.1874,-0.1437
258,-7.74,702.67,491.8435,0.4836,0.7171,0.0324,1.2146,187.937,-0.144
259,-7.71,702.93,491.7825,0.4833,0.719,0.0323,1.2166,188.5154,-0.1443
260,-7.68,703.2,491.7316,0.4829,0.7209,0.0322,1.2185,189.1508,-0.1446
261,-7.65,703.46,491.6706,0.4826,0.7227,0.0322,1.2205,189.7271,-0.1448
262,-7.62,703.72,491.6198,0.4823,0.7246,0.0321,1.2224,190.4727,-0.1451
263,-7.58,703.99,491.5587,0.482,0.7264,0.032,1.2244,191.0346,-0.1454
264,-7.55,704.25,491.4977,0.4817,0.7283,0.0319,1.2263,191.6782,-0.1457
265,-7.52,704.51,491.4468,0.4814,0.7301,0.0319,1.2283,192.2504,-0.146
266,-7.49,704.81,491.3349,0.481,0.7324,0.0318,1.2303,193.1723,-0.1462
267,-7.46,705.13,491.223,0.4806,0.7347,0.0318,1.2324,193.9978,-0.1464
268,-7.42,705.44,491.1008,0.4802,0.7371,0.0317,1.2345,194.8343,-0.1465
269,-7.39,705.75,490.9786,0.4799,0.7394,0.0317,1.2366,195.7696,-0.1467
270,-7.36,706.07,490.8564,0.4795,0.7418,0.0316,1.2387,196.5911,-0.1469
271,-7.33,706.38,490.7443,0.4791,0.7441,0.0316,1.2408,197.4237,-0.147
272,-7.3,706.69,490.6221,0.4787,0.7464,0.0315,1.2429,198.255,-0.1472
273,-7.26,707.01,490.4997,0.4783,0.7487,0.0315,1.245,199.1726,-0.1473
274,-7.23,707.32,490.3774,0.478,0.7511,0.0315,1.2471,200.0012,-0.1475
275,-7.2,707.63,490.2652,0.4776,0.7534,0.0314,1.2492,200.8286,-0.1477
276,-7.17,707.94,490.1428,0.4772,0.7557,0.0314,1.2512,201.8255,-0.1478
277,-7.14,708.26,490.0204,0.4768,0.7579,0.0313,1.2533,202.6377,-0.148
278,-7.1,708.57,489.8979,0.4764,0.7602,0.0313,1.2554,203.4612,-0.1482
279,-7.07,708.88,489.7857,0.476,0.7625,0.0312,1.2575,204.3834,-0.1483
280,-7.04,709.2,489.6631,0.4757,0.7648,0.0312,1.2596,205.1917,-0.1485
281,-7.01,709.52,489.5406,0.4753,0.7671,0.0311,1.2617,206.0986,-0.1486
282,-6.98,710.04,489.4282,0.475,0.7705,0.031,1.2644,207.5254,-0.149
283,-6.94,710.56,489.3056,0.4746,0.7738,0.0309,1.2672,208.9784,-0.1493
284,-6.91,711.09,489.183,0.4743,0.7771,0.0308,1.2699,210.3868,-0.1496
285,-6.88,711.61,489.0705,0.4739,0.7804,0.0307,1.2726,211.8051,-0.15
286,-6.85,712.13,488.9478,0.4736,0.7838,0.0306,1.2753,213.2206,-0.1503
287,-6.82,712.65,488.8354,0.4733,0.787,0.0305,1.278,214.7333,-0.1506
288,-6.78,713.17,488.7126,0.4729,0.7903,0.0304,1.2807,216.1432,-0.1509
289,-6.75,713.69,488.6,0.4726,0.7936,0.0303,1.2834,217.5503,-0.1513
290,-6.72,714.21,488.4772,0.4723,0.7968,0.0302,1.2861,219.0545,-0.1516
291,-6.69,714.73,488.3544,0.4719,0.8001,0.0301,1.2888,220.456,-0.1519
